time,vibrationLevel_4267,mean
2023-08-15 08:07:18.336000+00:00,0.126,0.126
2023-08-15 05:06:37.412000+00:00,0.0546,0.0546
2023-08-15 02:05:11.138000+00:00,0.0029,0.0029
2023-08-14 23:03:25.041000+00:00,0.0023,0.0023
2023-08-14 20:05:30.507000+00:00,0.0022,0.0022
2023-08-14 17:04:24.953000+00:00,0.094,0.094
2023-08-14 14:07:23.249000+00:00,0.0919,0.0919
2023-08-14 11:16:40.564000+00:00,0.0761,0.0761
2023-08-14 05:03:51.972000+00:00,0.0379,0.0379
2023-08-14 02:07:54.743000+00:00,0.0,0.0
2023-08-13 23:07:24.529000+00:00,0.0,0.0
2023-08-13 20:06:58.488000+00:00,0.0,0.0
2023-08-13 17:06:27.194000+00:00,0.0956,0.0956
2023-08-13 14:08:00.793000+00:00,0.1039,0.1039
2023-08-13 11:07:08.514000+00:00,0.0817,0.0817
2023-08-13 08:06:00.885000+00:00,0.112,0.112
2023-08-13 05:07:36.853000+00:00,0.0,0.0
2023-08-13 02:06:50.716000+00:00,0.0,0.0
2023-08-12 23:06:18.910000+00:00,0.1899,0.1899
2023-08-12 20:05:31.820000+00:00,0.1429,0.1429
2023-08-12 17:06:38.190000+00:00,0.1141,0.1141
2023-08-12 14:08:08.504000+00:00,0.0906,0.0906
2023-08-12 11:07:06.451000+00:00,0.096,0.096
2023-08-12 05:07:45.647000+00:00,0.0,0.0
2023-08-12 02:07:09.975000+00:00,0.0,0.0
2023-08-11 23:06:38.565000+00:00,0.0,0.0
2023-08-11 20:11:03.102000+00:00,0.0801,0.0801
2023-08-11 17:04:58.536000+00:00,0.1149,0.1149
